ticket_id,description,category,priority
275,Important: Getting a timeout in the profile panel. This happened after this morning. Production is impacted.,Technical,High
276,"Important: I noticed the settings area is degraded on client app. Also, and check my refund. Thanks for the help. Best regards. Sent from my iPhone.",Technical,High
277,The item is not appearing as expected in the gateway. Can you check the Android logs? Urgentt attention needed.,Technical,Critical
278,The summary from the weekend seems showing twice. I checked the card info and it looks okay. Hope you're having a good day.,Billing,Medium
279,How do I check the email system? I am not seeing any updates. Production is impacted.,Account,Low
280,How do I set up the email system? I am not seeing any updates. Urgent attention needed. Sorry for the trouble. Hope you're having a good day.,Account,Medium
281,There is a returns an error when I proceed. This is very annoying. Sent from my client app. Sent from my iPhone. Best regards.,Technical,Low
282,Follow up: I am having trouble with password credentials when I try to sign in. Best regards. Best regards. Hope you're having a good day.,Account,Medium
283,How do I set up the message system? I am not seeing any updates. This is blocking my work.,Account,Low
284,Why is there a discrepancy in the statement? It says order #55 but the amount is different. This is blocking my work.,Billing,Medium
285,"Minor: I noticed the navigation layer is degraded on client app. Also, and the invoice is wrong. Sent from my iPhone. Sent from my iPhone. Thanks for the help.",Technical,Low
286,The token is not appearing as expected in the module. Can you check the web browser logs? Production is impacted.,Technical,Medium
287,My transfer was flagged last night. I also have a question about profile data. Thanks for the help.,Billing,Critical
288,Getting a unexpected response in the navigation layer. This happened after the last update. Production is mipacted.,Technical,Critical
289,Question: Getting a status code 500 in the settings area. This happened after this morning. It's a critical blocker.,Technical,Medium
290,The token is not appearing as expected in the interface. Can you check the desktop logs? It's a critical blocker.,Technical,Low
291,Question: The plan process did not behave as exepcted and unusually high. Hope you're having a good day.,Billing,Medium
292,The statement from the weekend seems not what I agreed to. I checked the card info and it looks okay. Best regards.,Billing,Low
293,Routine: There is a glitches when I submit. This is a major issue. Sent from my mobile device.,Technical,Medium
294,HELP FAST: The summary from the last update seems not what I agreed to. I cheked the card info and it looks okay. Sent from my iPhone.,Billing,Critical
295,Suggestion: The plan process did not behave as expected and showing twice. Hope you're having a good day.,Billing,Low
296,The sign in level is insufficient for my security settings. It keeps stops working. Sorry for the trouble.,Account,Critical
297,Urgent: Getting a unexpected response in the side section. This happened after this morning. It's a critical blocker.,Technical,High
298,Question: Why is there a discrepancy in the summary? It says INV-202 but the amount is different. This is blocking my work.,Billing,Medium
299,HELP FAST: I was expecting a confirmation but I received a notification about denied. This is blocking my work. Thanks for the help. Sorry for the trouble.,Billing,Critical
300,Important: The MFA settings are degraded. I need to check my security settings. Production is impacted.,Account,High
301,The portal is not loading properly. I was trying to access the feature but it just returns an error. Thanks for the help.,Technical,Critical
302,FYI: The summary from this morning seems unusually high. I checked the card info and it looks okay. Sent from my iPhone.,Billing,Low
303,Getting a timeout in the settings area. This happened after this morning. Production is impcted.,Technical,High
304,Query: Getting a handshake failure in the settings area. This happened after my last login. Production is impacted. Best regards. Thanks for the help.,Technical,Medium
305,"BLOCKER: My profile data is under review. Also, the profile panel feels not responding correctly. Sorry for the trouble.",Account,Critical
306,The plan process did not behave as expected and not what I agreed to. Sent from my iPhone.,Billing,Critical
307,Important: Getting a internal error in the profile panel. This happened after the weekend. This is blocking my work. Sent from my iPhone. Sorry for the trouble.,Technical,High
308,Update: The file is not appearing as expected in the system. Can you check the desktop logs? Need this fixed soon.,Technical,Medium
309,ASAP: Why is there a discrepancy in the statement? It says TXN-101 but the amount is different. Need this fixed soon,Billing,High
310,Query: I was expecting a confirmation but I received a notification about denied. It's a critical blocker. Hope you're having a good day. Sent from my iPhone.,Billing,Medium
311,The dashboard is not loading properly. I was trying to proceed but it just glitches. Best regards.,Technical,Critical
312,Suggestion: I was expecting a email notification but I received a notification about stuck. Need this fixed soon. Thanks for the help. Hope you're having a good day.,Billing,Low
313,"My login information is showing as inactive. Also, the profile panel feelss showing inconsistencies. Sent from my iPhone.",Account,High
314,Tere is a glitches when I sync. This is a major issue. Sent from my desktop.,Technical,Critical
315,CRITICAL: There is a fails to complete when I sync. This is very annoying. Sent from my mobile device. Hope you're having a good day. Sorry for the trouble.,Technical,Critical
316,Getting a generic error in the side section. This happened after yesterday. This is blocking my work.,Technical,Critical
317,I am having trouble with login when I try to update profile. Thanks for the help.,Account,High
318,Question: The statement from yesterday seems not what I agreed to. I checked the details and it looks okay. Hope you're having a good day. Hope you're having a good day. Sent from my iPhone.,Billing,Medium
319,Routine: My account was not going through last night. I also have a question about contact email. Sorry for the trouble.,Billing,Medium
320,BLOCKER: I am having trouble with password credentials when I try to change settings. Sent from my iPhone.,Account,Critical
321,There is a stops working when I submit. This is frustrating. Sent from my desktop. Thanks for the help. Sorry for the trouble.,Technical,High
322,Suggestion My account was flagged last night. I also have a question about contact email. Sorry for the trouble.,Billing,Low
323,"Query: My contact email is under review. Also, the side section feels behaving unexpectedly. Sent from my iPhone.",Account,Medium
324,My card was not going through last night. I also have a question about contact email. Sent from my iPhone. Best regards. Sorry for the trouble.,Billing,Medium
325,Needs checking: The data entry is not appearing as expected in the system. Can you check the client app logs? Urgent attention needed Sorry for the trouble. Hope you're having a good day.,Technical,High
326,"I noticed the side section is acting strange on desktop. Also, and the invoice is wrong. Sorry for the trouble.",Technical,Critical
327,HELP FAST: I was expecting a receipt but I received a notification about flagged. Urgent attention needed. Sorry for the trouble. Sent from my iPhone.,Billing,Critical
328,Question: The auth settings are ating strange. I need to reset my security settings. This is blocking my work.,Account,Medium
329,The update profile level is insufficient for my login information. It keeps hangs. Best regards.,Account,Critical
330,The interface is showing inconsistencies. I was trying to access the feature but it just fails to complete. Sent from my iPhone.,Technical,High
331,ASAP: There is a glitches when I save changes. This is a major issue. Sent from my web browser.,Technical,High
332,Getting a handshake failure in the settings area. This happened aftr the last update. It's a critical blocker.,Technical,High
333,URGENT: I was expecting a PDF file but I received a notification about stuck. Production is impacted..,Billing,Critical
334,"Maybe later: My profile data is showing as inactive. Also, the settings area feels degraded. Sorry for the trouble.",Account,Low
335,The sign in level is insufficient for my contact email. It keeps hangs. Thanks for the help.,Account,Critical
336,The view logs level is insufficient for my contact email. It keeps returns an error. Sent from my iPhone.,Account,Critical
337,Minor: My account was flagged last night. I also have a question about profile data. Best regards.,Billing,Low
338,Query: The item is not appearing as expected in the dashboard. Can you check the Android logs? Urgent attention needed. Thanks for the help. Sent from my iPhone.,Technical,Medium
339,Query: The invoice from this morning seems not what I agreed to. I checked the profile and it looks okay. Thanks for the help.,Billing,Medium
340,By Monday: The verification settings are behaving unexpectedly. I need to set up my security settings. Need this fixed soon.,Account,High
341,"Needs checking: I noticed the settings area is not responding correctly on desktop. Also, also my last payment failed. Sorry for the trouble. Thanks for the help. Sorry for the trouble.",Technical,High
342,Quuery: The plan process did not behave as expected and unusually high. Sorry for the trouble.,Billing,Medium
343,The system is not responding correctly. I was trying to access the feature but it just returns an error. Best regards.,Technical,Low
344,CRITICAL: The plan process did not behave as expected and incorrect. Hope you're having a good day.,Billing,Critical
345,Important: The invoice from the last update seems not what I agreed to. I checked the profile and it looks okay. Thanks for the help. Best regards. Sent from my iPhone.,Billing,High
346,Minor: Why is there a discrepancy in the invoice? It says order #55 but the amount is different. It's a critical blocker.,Billing,Low
347,The update profile level is insufficient for my profile data. It keeps returns an error. Thanks for the help.,Account,High
348,I am having trouble with password credentials when I try to update profile. Hope you're having a good day.,Account,Medium
349,Needs checking: Getting a timeout in the navigation layer. This happened after yesterday. Need this fixed soon.,Technical,High
350,"I noticed the navigation layer is not responding correctly on web browser. Also, and check my refund. Sorry for the trouble.",Technical,Medium
351,The MFA settings are degraded. I need to check my security settings. Need this fixed soon.,Account,Low
352,Query: The feature process did not behave as expected and incorrect. Sorry for the trouble. Best regards. Sent from my iPhone.,Billing,Medium
353,"My profile data is not accessible. Also, the side section feels acting strange. Best regards. Best regars. Hope you're having a good day.",Account,Medium
354,Urgent: The sign in level is insufficient for my security settings. It keeps hangs. Hope you're having a good day.,Account,High
355,FYI: The token is not appearing as expected in the gateway. Can you check the client app logs? Production is impacted.,Technical,Low
356,NOW: My card was denied last night. I also have a question about contact email. Sorry for the trouble. Sent from my iPhone. Best regards.,Billing,Critical
357,URGENT: I am having trouble with password credentials when I try to view logs. Sorry for the trouble.,Account,Critical
358,ASAP: I am having trouble with password credentials when I try to change settings. Sent from my iPhone. Hope you're having a good day. Sent from my iPhone.,Account,High
359,No hurry: The verification settings are not loading properly. I need to review my profile data. Need this fixed soon.,Account,Low
360,Getting a status code 500 in the settings area. This happened after yesterday. This is blocking my work. Best regards. Hope you're having a good day.,Technical,Medium
361,ASAP: The dashboard is degraded. I was trying to proceed but it just returns an error. Sorry for the trouble.,Technical,High
362,"My contact email is under review. Also, the settings area feels showing inconsistencies. Thanks for the help.",Account,Medium
363,I was expecting a confirmation but I received a notification about denied. This is blocking my work.,Billing,Low
364,Rotine: The item is not appearing as expected in the module. Can you check the mobile device logs? Need this fixed soon.,Technical,Medium
365,Maybe later: There is a hangs when I submit. This is very annoying. Sent from my client app.,Technical,Low
366,The add-on process did not behave as expected and unusually high. Sorry for the trouble.,Billing,High
367,No hurry: I was expecting a email notification but I received a notification about stuck. Urgent attention needed.,Billing,Low
368,Follow up: Getting a internal error in the main view. This happened after my last login. Production is impacted. Thanks for the help. Sorry for the trouble.,Technical,Medium
369,Routine: The gateway is behaving unexpectedly. I was trying to upload data but it just glitches. Hope you're having a good day.,Technical,Medium
370,How do I modify the email system? I am not seeing any updates. Production is impacted. Thanks for the help. Hope you're having a good day.,Account,Critical
371,NOW: The entry is not appearing as expected in the interface. Can you check the desktop logs? Need this fixed soon. Sorry for the trouble. Thanks for the help.,Technical,Critical
372,ASAP: I am having trouble with keys when I try to sign in. Sent from my iPhone. Hope you're having a good day. Sorry for the trouble.,Account,High
373,Why is there a discrepancy in the statement? It says ref 99 but the amount is different. Urgent attention needed.,Billing,High
374,The entry is not appearing as expected in the dashboard. Can you check the Android logs? This is blocking my work.,Technical,Low
375,CRITICAL: The SAML seettings are not responding correctly. I need to review my login information. Need this fixed soon. Thanks for the help. Best regards.,Account,Critical
376,FYI: There is a fails to complete when I save changes. This is very annoying. Sent from my client app.,Technical,Low
377,Important: The summary from the weekend seems higher than expected. I checked the address and it looks okay. Thanks for the help.,Billing,High
378,The add-on process did not behave as expected and not what I agreed to. Thanks for the help.,Billing,High
379,FYI: Why is there a discrepancy in the summary? It says INV-202 but the amount is different. Need this fixed soon.,Billing,Low
380,The subscription process did not behave as expected and not what I agreed to. Best regards.,Billing,High
381,The record is not appearing as expected in the dashboard. Can you check the mobile device logs? Production is impacted.,Technical,Medium
382,Query: There is a stops working when I access the feature. This is preventing progress. Sent from my client app.,Technical,Medium
383,IMMEDIATELY: The change settings level is insuffciient for my login information. It keeps stops working. Thanks for the help.,Account,Critical
384,The view logs level is insufficient for my login information. It keeps glitches. Best regards. Hope you're having a good day. Sorry for the trouble.,Account,Medium
385,BLOCKER: There is a glitches when I sync. This is preventing progress. Sent from my client app.,Technical,Critical
386,The system is behaving unexpectedly. I was trying to upload data but it just hangs. Sent from my iPhone. Best regards. Hope you're having a good day.,Technical,Critical
387,Question: The SAML settings are behaving unexpectedly. I need to review my login information. Need this fixed soon. Hope you're having a good day. Sorry for the trouble.,Account,Medium
388,URGENT: Why is there a discrepancy in the summary? It says TXN-101 but the amount is different. Urgent attention needed. Sent from my iPhone. Best regards.,Billing,Critical
389,CRITICAL: Why is there a discrepancy in the invoice? It says INV-202 but the amount is different. Urgent attention needed. Hope you're having a good day. Thanks for the help.,Billing,Critical
390,HELP FAST: Getting a internal error in the profile panel. This happened after the weekend. Production is impacted.,Technical,Critical
391,"By Monday: I noticed the navigation layer is behaving unexpectedly on Android. Also, and check my refund. Sorry for the trouble.",Technical,High
392,HELP FAST: The view logs level is insufficient for my profile data. It keeps stops working. Sorry for the trouble.,Account,Critical
393,Why is there a discrepancy in the latest charge? It says ref 99 but the amount is different. It's a critical blocker.,Billing,Low
394,HELP FAST: There is a giltches when I sync. This is preventing progress. Sent from my web browser.,Technical,Critical
395,Maybe later: The sign in level is insufficient for my profile data. It keeps stops working. Best regards. Sorry for the trouble. Sent from my iPhone.,Account,Low
396,Follow up: The MFA settings are acting strange. I need to set up my security settings. Urgent attention needed. Sent from my iPhone. Best regards.,Account,Medium
397,The update profile level is insufficient for my profile data. It keeps fails to complete. Hope you're having a good day. Sorry for the trouble. Hope you're having a good day.,Account,Low
398,I was expecting a email notification but I received a notification about not going through. This is blocking my work.,Billing,Low
399,NOW: The plan process did not behave as expected and not what I agreed to. Best regards. Sorry for the trouble. Thanks for the help.,Billing,Critical
400,No hurry: How do I check the email system? I am not seeing any updates. It's a critical blocker. Thanks for the help. Hope you're having a good day.,Account,Low
401,IMMEDIATELY: Why is there a discrepancy in the latest charge? It says order #55 but the amount is different. Urgent attention needed.,Billing,Critical
402,Urgent: I am having trouble with keys when I try to view logs. Thanks for the help.,Account,High
403,Important: I was expecting a confirmation but I received a notification about denied. Production is imacted.,Billing,High
404,HELP FAST: How do I reset the alert system? I am not seeing any updates. This is blocking my work.,Account,Critical
405,Getting a status code 500 in the main view. This happened after the last update. Need this fixed soon.,Technical,Critical
406,CRITICAL: The subscription process did not behave as expected and higher than expected. Hope you're having a good day. Hope you're having a good day. Best regards.,Billing,Critical
407,The plan process did not behave as expected and showing twice. Sent from my iPhone. Sorry for the trouble. Best regards.,Billing,Critical
408,BLOCKER: Why is there a discrepancy in the summary? It says ref 99 but the amount is different. This is blocking my work.,Billing,Critical
409,The change settings level is insufficient for my profile data. It keeps fails to complete. Thanks for the help.,Account,High
410,My account was stuck last night. I also have a question about security settings. Hope you're having a good day.,Billing,Critical
411,I am having trouble with authentication info when I try to change settings. Hope you're having a good day. Hope oyu're having a good day. Sorry for the trouble.,Account,Medium
412,Urgent: The item is not appearing as expected in the module. Can you check the web browser logs? This is blocking my work. Hope you're having a good day. Thanks for the help.,Technical,High
413,My transfer was stuck last night. I also have a question about login information. Hope you're having a good day. Sent from my iPhone. Thanks for the help.,Billing,Critical
414,BLOCKER: Getting a handshake failure in the main view. This happened after the weekend. Urgent attention needed. Hope you're having a good day. Thanks for the help.,Technical,Critical
415,BLOCKER: The token is not appearing as expected in the dashboard. Can you check the Android logs? It's a critical blocker.,Technical,Critical
416,IMMEDIATELY: The file is not appearing as expected in the dashboard. Can you check the iOS logs? It's a critical blocker. Best regards. Sorry for the trouble.,Technical,Critical
417,CRITICAL: The sign in level is insufficient for my contact email. It keeps returns an error. Best regards. Best regards. Sent from my iPhone.,Account,Critical
418,Important: I am having trouble with logn when I try to change settings. Sent from my iPhone. Best regards. Thanks for the help.,Account,High
419,The file is not appearing as expected in the dashboard. Can you check the web browser logs? This is blocking my work.,Technical,Medium
420,Needs checking: Getting a handshake failure in the navigation layer. This happened after the last update. This is blocking my work.,Technical,High
421,The sign in level is insufficient for my contact email. It keeps returns an error. Hope you're having a good day.,Account,Medium
422,Suggestion: The subscription process did not behave as expected and higher than expected. Sent from my iPhone.,Billing,Low
423,IMMEDIATELY: The file is not appearing as expected in the gateway. Can you check the web browser logs? This is blocking my work.,Technical,Critical
424,Query: My PayPal was not going through last night. I also have a question about profile data. Best regards.,Billing,Medium
425,The system is degraded. I was trying to submit but it just stops working. Hope you're having a good day.,Technical,Medium
426,BLOCKER: I was expecting a cconfirmation but I received a notification about denied. This is blocking my work.,Billing,Critical
427,By Monday: Why is there a discrepancy in the invoice? It says INV-202 but the amount is different. Production is impacted. Best regards. Hope you're having a good day.,Billing,High
428,I am having trouble with password credentials when I try to sign in. Hope you're having a good day.,Account,Critical
429,The latest charge from the last update seems not what I agreed to. I checked the card info and it looks okay. Thanks for the help.,Billing,Critical
430,No hurry: Why is there a discrepancy in the statement? It says TXN-101 but the amount is different. This is blocking my work.,Billing,Low
431,Qury: My PayPal was stuck last night. I also have a question about contact email. Hope you're having a good day.,Billing,Medium
432,The entry is not appearing as expected in the dashboard. Can you check the desktop logs? Production is mpacted.,Technical,High
433,"URGENT: My login information is under review. Also, the side section feels behaving unexpectedly. Sent from my iPhone.",Account,Critical
434,Getting a handshake failure in the side section. This happened aftter the weekend. This is blocking my work. Hope you're having a good day. Best regards.,Technical,Critical
435,Needs checking: The feature process did not behave as expected and unusually high. Sent from my iPhone.,Billing,High
436,I was expecting a PDF file but I received a notification about flagged. Production is impacted.,Billing,Low
437,I am having trouble with authentication info when I try to sign in. Sorry for the trouble.,Account,Medium
438,The auth settings are acting strange. I need to review my login information. It's a critical blocker.,Account,Medium
439,Maybe later: The file is not appearing as expected in the system. Can you check the desktop logs? This is blocking my work. Sorry for the trouble. Thanks for the help.,Technical,Low
440,Minor: The feature process did not behave as expected and higher than expected. Sorry for the trouble. Thanks for the help. Hope you're having a good day.,Billing,Low
441,IMMEDIATELY: Why is there a discrepancy in the summary? It says TXN-101 but the amount is different. Urgent attention needed. Sent from my iPhone. Sorry for the trouble.,Billing,Critical
442,The subscription process did not behave as expected and not what I agreed to. Hope you're having a good day.,Billing,Low
443,Update: The system is not loading properly. I was trying to upload data but it just hangs. Sorry for the trouble.,Technical,Medium
444,Sugggestion: Why is there a discrepancy in the statement? It says TXN-101 but the amount is different. Urgent attention needed.,Billing,Low
445,By Monday: The token is not appearing as expected in the interface. Can you check the mobile device logs? It's a critical blocker.,Technical,High
446,Routine: Why is there a discrepancy in the invoice? It says INV-202 but the amount is different. Urgent attention needed. Thanks for the help. Best regards.,Billing,Medium
447,How do I check the alert system? I am not seeing any updates. Need this fixed soon. Sorry for the trouble. Thanks for the help.,Account,Critical
448,The update profile level is insufficient for my security settings. It keeps fails to complete. Sent from my iPhone.,Account,Low
449,Needs checking: The statement from this morning seems higher than expected. I checked the address and it looks okay. Hope you're having a good day. Sorry for the trouble. Thanks for the hel.p,Billing,High
450,How do I set up the email system? I am not seeing any updates. Need this fixed soon.,Account,Medium
451,Important: Getting a unexpected response in the navigation layer. This happened after the weekend. Urgent attention needed.,Technical,High
452,Suggestion: I was expecting a email notification but I received a notification about flagged. Urgent attention needed.,Billing,Low
453,The latest charge from this morning seems showing twice. I checked the profile and it looks okay. Best regards. Thanks for the help. Sent from my iPhone.,Billing,Medium
454,Routine: The invoice from this morning seems unusually high. I checked the address and it looks okay. Best regards.,Billing,Medium
455,By Monday: My transfer was not going through last night. I also have a question about profile data. Sorry for the trouble.,Billing,High
456,Query: My card was denied last night. I also have a question about profile data. Hope you're having a good day.,Billing,Medium
457,Minor: Why is there a discrepancy in the summary? It says TXN-101 but the amount is different. This is blocking my work.,Billing,Low
458,FYI: The entry is not appearing as expected in the system. Can you check the iOS logs? Production is impacted. Sent from my iPhone. Thanks for the help.,Technical,Low
459,"Urgent: I noticed the profile panel is acting strange on client app. Also, and check my refund. Sent from my iPhone. Hope you're having a good day. Best regards.",Technical,High
460,Question: Why is there a discrepancy in the statement? It says order #55 but the amount is different. It's a critical blocker. Hope you're having a good day. Sorry for the trouble.,Billing,Medium
461,BLOCKER: How do I modify the message system? I am not seeing any updates. Need this fixed soon.,Account,Critical
462,"Query: I noticed the profile panel is degraded on mobile devce. Also, and the invoice is wrong. Best regards. Best regards. Hope you're having a good day.",Technical,Medium
463,I am having trouble with keys when I try to update profile. Hope you're having a good day. Thanks for the help. Best regards.,Account,Medium
464,"I noticed the settings area is not loading properly on mobile device. Also, also my last payment failed. Hope you're having a good day. Best regards. Thanks for the help.",Technical,High
465,"Update: My login information is under review. Also, the side section feels degraded. Sorry for the trouble. Sorry for the trouble. Sent from my iPhone.",Account,Medium
466,The dashboard is degraded. I was trying to upload data but it just returns an error. Thanks for the help.,Technical,Low
467,"I noticed the profile panel is behaving unexpectedly on iOS. Also, also my last payment failed. Thanks for the help. Thanks for the help. Sorry for the toruble.",Technical,Low
468,"CRITICAL: I noticed the navigation layer is behaving unexpectedly on client app. Also, but I have a billing question. Sorry for the trouble.",Technical,Critical
469,The verification settings are not responding correctly. I need to review my security settings. Production is impacted. Sent from my iPhone. Hope you're having a good day.,Account,Low
470,"No hurry: I noticed the settings area is degraded on desktop. Also, also my last payment failed. Best regards. Sent from my iPhone. Thanks for the help.",Technical,Low
471,How do I check the email system? I am not seeing any updates. It's a critical blocker. Thanks for the help. Sorry for the trouble.,Account,Low
472,The latets charge from the last update seems higher than expected. I checked the address and it looks okay. Sorry for the trouble.,Billing,High
473,How do I review the SMS system? I am not seeing any updates. It's a critical blocker.,Account,Medium
474,URGENT: The change settings level is insufficient for my contact mail. It keeps returns an error. Sorry for the trouble.,Account,Critical
475,The poratl is showing inconsistencies. I was trying to submit but it just stops working. Best regards. Thanks for the help. Hope you're having a good day.,Technical,Critical
476,CRITICAL: The file is not appearing as expected in the system. Can you check the Android logs? This is blocking my work.,Technical,Critical
477,Gettnig a unexpected response in the main view. This happened after this morning. This is blocking my work.,Technical,Low
478,FYI: There is a fails to complete when I upload data. This is very annoying. Sent from my client app. Hope you're having a good day. Thanks for the help.,Technical,Low
479,My transfer was stuck last night. I also have a question about security settings. Sorry for the trouble.,Billing,High
480,The MFA settings are acting strange. I need to set up my login information. Production is impacted.,Account,High
481,Suggestion: Why is there a discrepancy in the summary? It says order #55 but the amount is different. Urgent attention needed.,Billing,Low
482,My PayPal was denied last night. I also have a question about contact email. Sent from my iPhone.,Billing,Medium
483,ASAP: The invoice from my last login seems not what I agreed to. I checked the profile and it looks okay. Best regards.,Billing,High
484,The summary from the last update seems higher than expected. I checked the address and it looks okay. Hope you''re having a good day.,Billing,Low
485,Important: How do I review the SMS system? I am not seeing any updates. This is blocking my work.,Account,High
486,Why is there a discrepancy in the summary? It says INV-202 but the amount is different. It's a critical blocker.,Billing,High
487,"URGENT: My contact email is not accessible. Also, the settings area feels showingg inconsistencies. Hope you're having a good day. Hope you're having a good day. Thanks for the help.",Account,Critical
488,Query: How do I set up the message system? I am not seeing any updates. This is blocking my work. Sent from my iPhone. Thanks for the help.,Account,Medium
489,The summary from the last update seems higher than expected. I checked the address and it looks okay. Best regards.,Billing,Low
490,My PayPal was stuck last night. I also have a question about security settings. Sent from my iPhone.,Billing,Critical
491,FYI: Why is there a discrepancy in the invoice? It says INV-202 but the amount is different. Need this fixed soon.,Billing,Low
492,Why is there a discrepancy in the latest charge? It says order #55 but the amount is different. It's a critical blocker.,Billing,High
493,Urgen:t The feature process did not behave as expected and showing twice. Hope you're having a good day.,Billing,High
494,No hurry: How do I check the message system? I am not seeing any updates. It's a critical blocker.,Account,Low
495,Update: Getting a status code 500 in the side section. This happened after the weekend. Need this fixed soon.,Technical,Medium
496,Suggestion: The MFA settings are not loading properly. I need to review my security settings. It's a critical blocker.,Account,Low
497,The data entry is not appearing as expected in the module. Can you check the web browser logs? It's a critical blocker.,Technical,Low
498,Question: The change settings level is insufficient for my security settings. It keeps returns an error. Thanks for the help.,Account,Medium
499,NOW: The change settings level is insufficient for my contact email. It keeps hangs. Hope you're having a good day. Best regards. Sent from my iPhone.,Account,Critical
500,Maybe later: The auth settings are not loading properly. I need to set up my login information. It's a critical blocker.,Account,Low
501,I am having trouble with password crdeentials when I try to view logs. Sorry for the trouble.,Account,Critical
502,IMMEDIATELY: I was expecting a email notification but I received a notification about denied. This is blocking my work.,Billing,Critical
503,The dashboard is behaving unexpectedly. I was trying to access the feature but it just hangs. Hope you're having a good day. Sent from my iPhone. Hope you're having a good day.,Technical,Low
504,The summary from yesterday seems incorrect. I checked the details and it looks okay. Sorry for the trouble.,Billing,High
505,"system is completely down, no users can access the platform",Technical,Critical
506,payment gateway is completely broken since 2 hours,Technical,Critical
507,"the entire system is down, no one can login",Technical,Critical
508,"system is completely down, no users can access the platform",Technical,Critical
509,we are losing customer data right now,Technical,Critical
510,payment gateway is completely broken since 2 hours hello,Technical,Critical
511,payment gateway is completely broken since 2 hours,Technical,Critical
512,security breach detected on our account thanks,Technical,Critical
513,payment gateway is completely broken since 2 hours can someone check this,Technical,Critical
514,"hi the entire system is down, no one can login best",Technical,Critical
515,no users can access the platform best,Technical,Critical
516,we are losing customer data right now,Technical,Critical
517,the entire system is completely down can someone check this,Technical,Critical
518,we are losing customer data right now,Technical,Critical
519,"system is completely down, no users can access the platform",Technical,Critical
520,security breach detected on our account,Technical,Critical
521,"the entire system is down, no one can login",Technical,Critical
522,"the entire system is down, no one can login can someone check this",Technical,Critical
523,not sure why security breach detected on our account,Technical,Critical
524,"please help system is completely down, no users can access the platform can someone check this",Technical,Critical
525,the entire system is completely down can someone check this,Technical,Critical
526,"the entire system is down, no one can login hello",Technical,Critical
527,payment gateway is completely broken since 2 hours can someone check this,Technical,Critical
528,we are losing customer data right now,Technical,Critical
529,"the entire system is down, no one can login",Technical,Critical
530,"system is completely down, no users can access the platform",Technical,Critical
531,payment gateway is completely broken since 2 hours please help,Technical,Critical
532,"hi the entire system is down, no one can login",Technical,Critical
533,"system is completely down, no users can access the platform can someone check this",Technical,Critical
534,security breach detected on our account,Technical,Critical
535,best no users can access the platform,Technical,Critical
536,payment gateway is completely broken since 2 hours best,Technical,Critical
537,"hi system is completely down, no users can access the platform best",Technical,Critical
538,no users can access the platform can someone check this,Technical,Critical
539,"the entire system is down, no one can login can someone check this",Technical,Critical
540,"system is completely down, no users can access the platform regards",Technical,Critical
541,can someone check this payment gateway is completely broken since 2 hours,Technical,Critical
542,"please help system is completely down, no users can access the platform please help",Technical,Critical
543,"the entire system is down, no one can login thanks",Technical,Critical
544,we are losing customer data right now,Technical,Critical
545,security breach detected on our account,Technical,Critical
546,payment gateway is completely broken since 2 hours,Technical,Critical
547,the entire system is completely down not sure why,Technical,Critical
548,we are losing customer data right now,Technical,Critical
549,the entire system is completely down hi,Technical,Critical
550,the entire system is completely down thanks,Technical,Critical
551,"best the entire system is down, no one can login",Technical,Critical
552,payment gateway is completely broken since 2 hours not sure why,Technical,Critical
553,payment gateway is completely broken since 2 hours,Technical,Critical
554,no users can access the platform,Technical,Critical
555,no users can access the platform,Technical,Critical
556,the entire system is completely down,Technical,Critical
557,the entire system is completely down,Technical,Critical
558,"the entire system is down, no one can login can someone check this",Technical,Critical
559,the entire system is completely down best,Technical,Critical
560,"system is completely down, no users can access the platform",Technical,Critical
561,payment gateway is completely broken since 2 hours hello,Technical,Critical
562,payment gateway is completely broken since 2 hours,Technical,Critical
563,payment gateway is completely broken since 2 hours hello,Technical,Critical
564,"the entire system is down, no one can login best",Technical,Critical
565,payment gateway is completely broken since 2 hours,Technical,Critical
566,"system is completely down, no users can access the platform please help",Technical,Critical
567,best the entire system is completely down thanks,Technical,Critical
568,the entire system is completely down hi,Technical,Critical
569,we are losing customer data right now,Technical,Critical
570,hi we are losing customer data right now,Technical,Critical
571,"the entire system is down, no one can login",Technical,Critical
572,security breach detected on our account,Technical,Critical
573,"the entire system is down, no one can login",Technical,Critical
574,"thanks the entire system is down, no one can login",Technical,Critical
575,"not sure why system is completely down, no users can access the platform best",Technical,Critical
576,security breach detected on our account,Technical,Critical
577,can someone check this payment gateway is completely broken since 2 hours,Technical,Critical
578,not sure why we are losing customer data right now not sure why,Technical,Critical
579,no users can access the platform,Technical,Critical
580,we are losing customer data right now,Technical,Critical
581,security breach detected on our account can someone check this,Technical,Critical
582,security breach detected on our account please help,Technical,Critical
583,no users can access the platform hello,Technical,Critical
584,security breach detected on our account,Technical,Critical
585,payment gateway is completely broken since 2 hours can someone check this,Technical,Critical
586,can someone check this the entire system is completely down,Technical,Critical
587,please help we are losing customer data right now regards,Technical,Critical
588,hi we are losing customer data right now best,Technical,Critical
589,payment gateway is completely broken since 2 hours,Technical,Critical
590,payment gateway is completely broken since 2 hours,Technical,Critical
591,not sure why we are losing customer data right now hi,Technical,Critical
592,we are losing customer data right now,Technical,Critical
593,regards we are losing customer data right now,Technical,Critical
594,the entire system is completely down please help,Technical,Critical
595,can someone check this security breach detected on our account regards,Technical,Critical
